Variation,Density,avgAge,below15,below24,below44,below64,below65,below80000,below100000,size2,size3,size5,NoChildren,Single,Unemploy,before1960,before1980,before1990,before2000,before2005,before2011,Semi,Duplex,Buildings,Mobile,belowBach,College,Secondary,Apprentice,No,NonImmigrant,Immigrant,french,English,Others
2,5256,41,16,11,29,26,18,22,8,29,14,1,36,20,10,42,36,15,3,2,2,5,75,10,0,6,16,20,10,18,60,40,64,10,26
3,3064,43,16,10,24,28,22,28,8,33,13,2,41,20,9,14,53,15,7,8,3,9,64,20,0,5,15,23,15,23,71,29,76,8,16
-1,639,43,18,14,16,32,20,17,7,37,15,2,40,10,7,54,21,16,6,1,2,3,7,0,0,6,13,18,3,9,70,30,19,72,9
2,1772,40,19,15,18,32,16,15,10,32,18,2,33,11,6,32,52,8,4,1,3,9,5,0,0,5,18,18,5,8,76,24,21,73,6
0,7699,38,16,14,33,23,14,19,6,29,15,1,33,22,11,59,29,7,2,1,2,6,70,22,0,6,15,20,6,11,47,53,32,39,29
3,4649,45,16,11,22,23,28,18,8,31,13,3,40,15,9,17,47,16,3,4,13,16,16,54,0,8,13,21,7,13,52,48,16,62,22
1,3287,40,17,15,23,30,15,22,11,28,18,4,29,16,8,5,64,16,7,5,3,20,15,6,0,7,19,24,7,14,60,40,16,62,22
1,872,42,14,13,24,31,18,23,10,32,14,1,39,17,7,51,28,10,4,3,4,6,34,10,1,7,19,26,9,12,71,29,31,57,12
2,3996,39,20,15,21,27,17,14,4,30,14,6,33,11,5,51,44,4,0,1,0,8,33,9,0,7,15,15,4,9,71,29,15,76,9
4,2204,39,17,17,19,34,13,19,12,27,20,4,28,11,7,2,44,32,14,6,2,9,1,5,0,7,20,21,6,10,72,28,19,68,13
3,767,39,17,15,22,33,13,21,10,31,18,2,32,16,4,11,30,34,17,4,4,6,28,0,0,4,19,24,12,14,77,23,58,32,10
1,2349,41,16,12,27,30,15,23,8,30,15,2,35,25,6,55,26,8,5,3,3,10,71,3,0,6,16,24,12,22,78,22,60,29,11
-1,4554,42,15,11,27,28,19,26,8,31,15,2,36,22,8,26,58,7,5,2,2,7,87,2,0,4,17,27,12,23,64,36,43,37,20
3,4604,39,14,13,35,27,11,21,7,31,12,1,42,26,9,53,18,13,4,4,8,8,77,13,0,5,14,20,10,24,74,26,61,24,15
2,5175,41,13,12,32,28,15,23,7,32,12,1,43,24,8,48,34,9,3,2,4,5,86,4,0,5,16,22,14,24,80,20,85,5,10
3,2545,40,20,13,21,27,19,14,8,29,15,2,31,13,6,73,19,2,3,2,1,22,33,8,1,7,13,14,4,8,62,38,50,33,17
2,12346,37,10,14,44,22,10,21,7,30,10,1,52,17,7,64,24,6,3,1,2,2,83,15,0,6,14,15,5,9,68,32,67,23,10
-2,299,39,16,13,27,31,13,21,8,33,14,3,36,30,11,55,19,9,5,8,4,3,66,5,0,2,9,26,24,32,91,9,93,4,3
0,7591,41,18,12,26,25,19,22,5,29,15,3,30,29,13,33,59,7,1,1,1,5,77,10,0,4,12,25,16,35,60,40,66,8,26
-2,3615,39,19,16,19,33,13,19,7,32,18,2,30,16,9,87,13,0,0,0,0,22,35,0,0,4,15,16,4,10,76,24,14,78,8
3,6114,39,21,14,23,25,17,23,9,31,14,5,36,18,4,75,15,3,3,2,2,14,58,20,1,6,14,17,2,7,74,26,66,17,17
5,2533,38,19,14,25,29,13,26,13,28,18,3,30,17,7,16,41,20,10,8,5,13,31,5,0,6,19,25,9,15,61,39,32,47,21
2,1631,43,15,13,20,31,21,22,12,31,16,2,36,15,6,42,27,16,6,6,3,17,10,17,1,6,19,22,8,11,73,27,20,69,11
3,2515,41,15,14,24,31,16,26,12,32,17,3,35,21,7,12,29,35,13,5,6,24,46,5,0,4,16,26,17,27,77,23,72,16,12
1,8458,40,13,11,36,26,14,22,7,30,11,1,44,22,8,60,25,7,4,2,2,3,90,5,0,5,17,18,11,18,77,23,83,6,11
6,5614,41,18,10,28,24,20,26,6,31,17,3,34,20,11,12,72,7,3,2,4,3,84,6,1,4,15,23,13,28,53,47,41,23,36
11,2194,39,19,12,30,23,16,24,8,28,17,3,31,17,10,30,35,12,7,7,9,14,46,29,0,7,15,21,7,17,46,54,37,26,37
-2,480,42,16,15,23,28,18,18,12,31,15,1,34,17,11,38,16,14,22,9,1,18,34,3,0,8,18,22,8,11,80,20,35,58,7
-4,123,44,16,12,17,33,22,21,6,41,14,2,46,10,4,63,25,12,0,0,0,4,4,0,0,5,21,15,7,8,72,28,32,66,2
0,6810,41,13,11,33,28,15,22,7,34,13,0,45,21,8,54,19,13,6,4,4,7,70,20,0,6,15,19,9,17,76,24,65,21,14
9,6033,39,7,17,39,24,13,18,5,31,8,1,57,17,10,40,31,11,6,5,7,2,50,46,1,6,14,18,6,11,57,43,54,27,19
0,8624,38,17,12,34,24,13,21,5,29,14,3,33,25,12,61,31,4,2,1,1,2,91,3,0,4,15,21,11,28,54,46,54,9,37
-3,4953,44,15,13,20,29,23,16,8,31,13,1,41,14,6,66,24,8,2,0,0,29,21,38,0,7,10,15,3,6,67,33,19,72,9
